time;averagePm10;averageAirTemp;averageDewPointTemperature;averageRelativeHumidity;averageAirPressure;averageWindDirection;maxWindSpeed;averageWindSpeed;rainIntensity
"2018-11-18 00:00:00";15.164406779661;-1.8766666666667;-5.37;77.01;991.82333333333;74;2.5;1.3933333333333;0
"2018-11-18 01:00:00";15.252542372881;-1.885;-5.4266666666667;76.715;991.72833333333;97;2.4;1.04;0
"2018-11-18 02:00:00";14.084745762712;-1.78;-5.4083333333333;76.296666666667;991.3;71;2.1;1.1883333333333;0
"2018-11-18 03:00:00";16.663333333333;-1.7666666666667;-5.365;76.463333333333;990.985;60;3.3;1.5016666666667;0
"2018-11-18 04:00:00";17.781355932203;-1.45;-5.1566666666667;75.885;990.87166666667;51;2.5;1.0916666666667;0
"2018-11-18 05:00:00";22.210169491525;-1.4366666666667;-5.1733333333333;75.753333333333;990.79833333333;78;1.4;0.66166666666667;0
"2018-11-18 06:00:00";28.649152542373;-1.5766666666667;-5.18;76.41;990.77833333333;284;1.3;0.67833333333333;0
"2018-11-18 07:00:00";33.327118644068;-1.325;-5.1083333333333;75.461666666667;990.89;19;2.6;1.0466666666667;0
"2018-11-18 08:00:00";30.1;-1.1433333333333;-5.1883333333333;74.021666666667;991.28833333333;62;2.4;1.1883333333333;0
"2018-11-18 09:00:00";30.320338983051;-1.1133333333333;-6.7966666666667;65.363333333333;991.67;135;1.9;1.0183333333333;0
"2018-11-18 10:00:00";29.58813559322;-0.615;-7.3333333333333;60.51;991.01333333333;227;2.3;1.1316666666667;0
"2018-11-18 11:00:00";31.495;0.26333333333333;-7.37;56.543333333333;990.65333333333;273;3.2;1.5333333333333;0
"2018-11-18 12:00:00";32.540677966102;0.34166666666667;-7.52;55.611666666667;990.65333333333;259;2;0.895;0
"2018-11-18 13:00:00";34.55593220339;0.61;-7.7216666666667;53.691666666667;990.585;307;2;0.98333333333333;0
"2018-11-18 14:00:00";34.05593220339;-0.61;-7.9;57.878333333333;990.93333333333;294;1.6;0.78333333333333;0
"2018-11-18 15:00:00";32.47;-1.1233333333333;-7.6883333333333;61.06;991.275;242;2;1.0366666666667;0
"2018-11-18 16:00:00";30.706779661017;-1.7833333333333;-7.7716666666667;63.668333333333;991.46333333333;269;2;1.0116666666667;0
"2018-11-18 17:00:00";32.146666666667;-2.46;-7.78;66.903333333333;991.59333333333;268;1.1;0.595;0
"2018-11-18 18:00:00";35.288333333333;-3.81;-8.435;70.288333333333;991.69666666667;287;1.8;0.74;0
"2018-11-18 19:00:00";34.742372881356;-4.5466666666667;-8.8366666666667;71.953333333333;991.47333333333;38;2.2;1.3483333333333;0
